罪名,手口,管轄警察署,管轄交番・駐在所,市区町村コード,都道府県,市区町村,町丁目,発生年月日,発生時,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,新宿,新宿駅東口交番,131041,東京都,新宿区,新宿３丁目,2021/6/13,21,その他,女性,20歳代,あり
窃盗,ひったくり,新宿,新宿駅西口交番,131041,東京都,新宿区,西新宿７丁目,2021/1/25,14,道路上,男性,20歳代,なし
窃盗,ひったくり,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町１丁目,2021/5/4,0,道路上,女性,20歳代,あり
窃盗,ひったくり,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町１丁目,2021/9/19,5,道路上,男性,10歳代,なし
窃盗,ひったくり,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町２丁目,2021/8/20,2,その他,女性,30歳代,なし
窃盗,ひったくり,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町２丁目,2021/9/18,23,道路上,女性,20歳代,あり
窃盗,ひったくり,新宿,百人町交番,131041,東京都,新宿区,大久保３丁目,2021/8/2,22,道路上,女性,20歳代,なし
窃盗,ひったくり,野方,野方一丁目交番,131148,東京都,中野区,中野５丁目,2021/7/15,2,道路上,女性,20歳代,あり
窃盗,ひったくり,池袋,池袋駅東口交番,131164,東京都,豊島区,東池袋１丁目,2021/1/4,12,道路上,男性,20歳代,あり
窃盗,ひったくり,池袋,池袋駅西口交番,131164,東京都,豊島区,西池袋１丁目,2021/4/6,4,道路上,男性,30歳代,なし
窃盗,ひったくり,目白,雑司が谷交番,131164,東京都,豊島区,南池袋４丁目,2021/10/2,1,道路上,女性,20歳代,あり
窃盗,ひったくり,板橋,平尾交番,131199,東京都,板橋区,板橋４丁目,2021/12/29,10,道路上,女性,30歳代,あり
窃盗,ひったくり,板橋,養育院前交番,131199,東京都,板橋区,氷川町,2021/1/27,0,道路上,女性,70歳以上,あり
窃盗,ひったくり,練馬,春日町交番,131202,東京都,練馬区,春日町１丁目,2021/3/7,23,道路上,女性,20歳代,なし
窃盗,ひったくり,光が丘,三原台交番,131202,東京都,練馬区,三原台１丁目,2021/3/27,21,その他,女性,50歳代,なし
窃盗,ひったくり,上野,動物園前交番,131067,東京都,台東区,上野公園,2021/3/9,14,その他,男性,70歳以上,なし
窃盗,ひったくり,浅草,日本堤交番,131067,東京都,台東区,日本堤２丁目,2021/12/12,22,道路上,女性,30歳代,なし
窃盗,ひったくり,浅草,,131067,東京都,台東区,松が谷３丁目,2021/2/13,19,道路上,男性,70歳以上,なし
窃盗,ひったくり,南千住,南千住駅東口交番,131181,東京都,荒川区,南千住５丁目,2021/12/14,20,道路上,女性,70歳以上,あり
窃盗,ひったくり,千住,北千住駅東口交番,131211,東京都,足立区,千住旭町,2021/4/9,17,その他,女性,10歳代,なし
窃盗,ひったくり,西新井,梅田七丁目交番,131211,東京都,足立区,梅田７丁目,2021/1/1,17,道路上,女性,10歳代,なし
窃盗,ひったくり,綾瀬,中央本町交番,131211,東京都,足立区,中央本町５丁目,2021/7/4,23,その他,男性,30歳代,あり
窃盗,ひったくり,綾瀬,中川交番,131211,東京都,足立区,中川２丁目,2021/6/18,11,道路上,女性,20歳代,なし
窃盗,ひったくり,綾瀬,中川交番,131211,東京都,足立区,中川３丁目,2021/4/18,12,道路上,女性,65-69歳,あり
窃盗,ひったくり,綾瀬,大谷田交番,131211,東京都,足立区,谷中３丁目,2021/4/26,18,道路上,女性,40歳代,あり
窃盗,ひったくり,綾瀬,東和交番,131211,東京都,足立区,東和２丁目,2021/4/16,18,道路上,女性,50歳代,なし
窃盗,ひったくり,竹の塚,花畑交番,131211,東京都,足立区,花畑１丁目,2021/12/16,21,道路上,男性,30歳代,あり
窃盗,ひったくり,竹の塚,花畑交番,131211,東京都,足立区,南花畑４丁目,2021/12/4,16,道路上,女性,30歳代,あり
窃盗,ひったくり,竹の塚,花畑交番,131211,東京都,足立区,南花畑５丁目,2021/12/9,21,道路上,女性,40歳代,あり
窃盗,ひったくり,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋３丁目,2021/12/11,21,その他,女性,30歳代,なし
窃盗,ひったくり,向島,東向島交番,131075,東京都,墨田区,東向島２丁目,2021/12/14,20,道路上,女性,60-64歳,あり
窃盗,ひったくり,向島,,,東京都,墨田区,向島４丁目,2021/12/13,4,道路上,男性,50歳代,あり
窃盗,ひったくり,葛飾,立石駅前交番,131229,東京都,葛飾区,立石８丁目,2021/4/18,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,小松川,平井駅前交番,131237,東京都,江戸川区,平井３丁目,2021/4/23,20,道路上,男性,70歳以上,あり
窃盗,ひったくり,小岩,西小岩交番,131237,東京都,江戸川区,西小岩１丁目,2021/2/23,5,道路上,女性,10歳代,あり
窃盗,ひったくり,高尾,めじろ台交番,132012,東京都,八王子市,椚田町,2021/4/21,21,道路上,女性,20歳代,なし
窃盗,ひったくり,東大和,南街交番,132209,東京都,東大和市,南街５丁目,2021/1/26,14,道路上,女性,70歳以上,あり
窃盗,ひったくり,青梅,新町交番,132055,東京都,青梅市,新町９丁目,2021/9/12,1,道路上,男性,40歳代,なし
窃盗,ひったくり,八王子,八王子駅北口交番,132012,東京都,八王子市,明神町４丁目,2021/8/8,2,道路上,男性,30歳代,なし
窃盗,ひったくり,町田,原町田交番,132098,東京都,町田市,原町田１丁目,2021/6/29,4,その他,男性,70歳以上,あり
窃盗,ひったくり,日野,宮駐在所,132128,東京都,日野市,万願寺６丁目,2021/10/16,1,道路上,男性,30歳代,あり
窃盗,ひったくり,昭島,東中神駅前交番,132071,東京都,昭島市,玉川町１丁目,2021/11/29,21,道路上,女性,50歳代,あり
窃盗,ひったくり,立川,富士見台交番,132152,東京都,国立市,富士見台１丁目,2021/5/14,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,立川,立川駅北口交番,132021,東京都,立川市,曙町３丁目,2021/12/4,20,道路上,男性,30歳代,なし
窃盗,ひったくり,府中,分梅駐在所,132063,東京都,府中市,分梅町４丁目,2021/4/26,18,道路上,女性,50歳代,あり
窃盗,ひったくり,田無,,131202,東京都,練馬区,高野台１丁目,2021/3/1,21,その他,女性,40歳代,なし
窃盗,ひったくり,武蔵野,八幡町交番,132039,東京都,武蔵野市,西久保３丁目,2021/6/26,10,道路上,男性,60-64歳,なし
窃盗,ひったくり,武蔵野,武蔵境駅南口交番,132039,東京都,武蔵野市,境南町１丁目,2021/9/25,23,道路上,女性,40歳代,あり
